"RMSE" "Rsquared" "MAE" "Resample"
"73" 159.662252990057 0.187821061944648 122.718862745098 "Fold05.Rep07"
"74" 133.522287816569 0.216329960982495 115.130633333333 "Fold02.Rep10"
"75" 138.756893517167 0.568215633524973 111.444105555556 "Fold09.Rep08"
"76" 159.212023043127 0.307369962453286 119.604292982456 "Fold06.Rep07"
"77" 154.632739850122 0.111665470668517 122.464058333333 "Fold03.Rep10"
"78" 172.800706255424 0.150166647762191 131.590064705882 "Fold10.Rep08"
"79" 129.073325965461 0.241378138871174 97.3516666666667 "Fold07.Rep07"
"80" 174.393731195041 0.0714281758730188 142.10060877193 "Fold04.Rep10"
"81" 154.430693935354 0.333575193592174 115.303933333334 "Fold01.Rep09"
"82" 157.053051741667 0.0535694537743337 128.747601754386 "Fold08.Rep07"
"83" 159.490453981351 0.434792940188682 125.185324074074 "Fold05.Rep10"
