name	dMPALA_sv1	dMPASA_sv1	dMPALN_sv1	dMPASN_sv1	dMPAR_sv1	dA_sv1	dBPC_sv1	dBPR_sv1	dBPAR_sv1	dCL_sv1	dCi_sv1	dCMBD_sv1	dCMX_sv1	dCMY_sv1	dCo_sv1	dCHA_sv1	dCHC_sv1	dE_sv1	dOEX_sv1	dOEY_sv1	dMECD_sv1	dMARA_sv1	dOSA_sv1	dR_sv1	dSC_sv1	dAZRM_sv1	dNZRM_sv1	dMPALA_sv2	dMPASA_sv2	dMPALN_sv2	dMPASN_sv2	dMPAR_sv2	dA_sv2	dBPC_sv2	dBPR_sv2	dBPAR_sv2	dCL_sv2	dCi_sv2	dCMBD_sv2	dCMX_sv2	dCMY_sv2	dCo_sv2	dCHA_sv2	dCHC_sv2	dE_sv2	dOEX_sv2	dOEY_sv2	dMECD_sv2	dMARA_sv2	dOSA_sv2	dR_sv2	dSC_sv2	dAZRM_sv2	dNZRM_sv2	dMPALAt	dMPASAt	dMPALNt	dMPASNt	dMPARt	dAt	dBPCt	dBPRt	dBPARt	dCLt	dCit	dCMBDt	dCMXt	dCMYt	dCot	dCHAt	dCHCt	dEt	dOEXt	dOEYt	dMECDt	dMARAt	dOSAt	dRt	dSCt	dAZRMt	dNZRMt	PH
556	20276200000	1322020000	0.827386	0.0539459	15.3373	156545	11647	866.541	0.0744003	1485.91	39405	25.7376	1319.26	1023.32	0.316673	494342	3364.48	0.770148	426	1484	1530.43	581345	156545	9918.91	4	21598200000	0.881332	18707500000	12044800000	0.823565	0.530249	1.55317	150716	22267	3289.76	0.147741	1574.82	239100	14.7648	1320.24	1016.34	0.0936502	1609350	4641.32	0.046941	1408	1449	1637.1	2037340	150716	379314	14	30752300000	1.35381	67953100000	1158550000	1.14701	0.0195556	58.6538	243400	9285	354.196	0.0381471	1924.72	12675.8	-11.1638	1311.65	1025.34	0.399932	608604	4084.63	0.934071	1895	609	1982.37	875067	243400	660.134	2	69111700000	1.16657	1333
562	13551300000	4542850000	0.965589	0.323699	2.98299	118466	15527	2035.08	0.131067	1400.83	356.794	2.70753	1365.42	997.173	0.107239	1104700	3942.76	0.247869	1088	1325	1484.47	1415130	118466	1.07459	14	18094100000	1.28929	12930100000	1629310000	0.710427	0.0895205	7.93591	134909	10680	845.477	0.0791645	1384.06	59707	14.9907	1211.42	968.32	0.239346	563656	3278.7	0.602462	633	1307	1405.06	761998	134909	26424.6	7	14559400000	0.799948	45479000000	2773560000	0.657906	0.0401227	16.3973	262920	8854	298.164	0.0336756	1584.74	26463.8	-42.7723	1451.67	1010.69	0.431646	609111	3645.22	0.783296	876	1499	1629.91	857822	262920	2663.68	4	48252600000	0.698029	1481
565	137143000	101721000	1.07156	0.794795	1.34823	11313	3868	1322.5	0.341908	584.23	2851.9	-2.35018	1326.35	1620.04	0.0924114	122420	1517.83	0.021991	574	405	612.087	217217	11313	718.934	1	238864000	1.86636	93663400	20038600	0.930297	0.19903	4.67415	10034	2947	865.538	0.293701	429.132	17294.2	-0.532483	1295.14	1634.52	0.142169	70578	1113.88	0.419288	234	378	441.101	87841	10034	29807.5	9	113702000	1.12933	170290000	19568000	1.32586	0.152355	8.70245	11333	2406	510.795	0.2123	636.589	6	3.47665	1260.02	1029.48	0.165062	68659	1345.06	0.630224	183	630	655.528	110858	11333	0.00317656	6	189858000	1.47822	802
571	10346300000	1085840000	0.568985	0.0597149	9.52837	134847	8669	557.31	0.0642877	1179.94	32457.9	-15.1754	1420.78	1147.93	0.338778	398039	2886.91	0.65616	529	1163	1223.92	433133	134847	7812.68	5	11432100000	0.6287	9801160000	9620090000	0.653245	0.641177	1.01882	122490	17701	2557.97	0.14451	1336.05	2974.16	16.8229	1272.18	1152.28	0.107203	1142600	3911.2	8.69E-05	1256	1196	1373.09	1499720	122490	72.2152	10	19421200000	1.29442	35389100000	3047400000	0.662794	0.057074	11.6129	231071	11547	577.023	0.0499717	1528.15	63282.8	-6.41842	1396.13	868.816	0.326749	707181	3694.39	0.708008	1526	841	1573.99	1182620	231071	17331.1	12	38436500000	0.719868	1230
577	1292960000	542973000	0.825216	0.346546	2.38126	39583	6920	1209.77	0.174822	857.124	37106.6	1.95316	1324.09	1448.6	0.133899	295619	2194.49	0.166876	561	832	889.724	435028	39583	34785.2	7	1835930000	1.17176	1550480000	594330000	0.972841	0.372909	2.60879	39922	6699	1124.11	0.167802	868.489	23944.6	-4.91897	1186.37	1444.65	0.133963	298008	2263.43	0.198735	576	848	896.36	447404	39922	14361.6	5	2144810000	1.34575	1870530000	107165000	0.915034	0.0524236	17.4546	45213	3804	320.05	0.0841351	826.395	3053.39	-5.2535	1438.85	1028.41	0.318787	141828	1857.75	0.794997	635	617	848.526	223651	45213	206.207	1	1977690000	0.967458	1152
583	6489450000	4936140000	0.482056	0.366671	1.31468	116026	12774	1406.37	0.110096	1043.96	74053	-5.97009	1376.96	1306.46	0.167473	692806	3052.9	0.0184826	989	907	1077.46	885310	116026	47264	7	11425600000	0.848727	7528630000	2955850000	0.583658	0.229153	2.54703	113574	13903	1701.92	0.122414	1186.25	175153	-2.77955	1224.16	1324.26	0.177545	639690	3026.34	0.190225	933	906	1221.84	828905	113574	270120	16	10484500000	0.81281	20577200000	2939610000	0.658043	0.0940066	6.99997	176834	9025	460.605	0.0510366	1389.45	44110.2	-74.1158	1391.48	945.657	0.237922	743245	3497.56	0.562498	1172	1196	1431.14	965604	176834	11003	6	23516800000	0.75205	1292
589	15000500000	6934880000	0.673137	0.311197	2.16306	149280	16165	1750.45	0.108286	1340.18	592.617	16.0708	1309.07	1114.79	0.136471	1093860	3899.39	0.135204	1120	1216	1386.26	1311890	149280	2.35259	12	21935400000	0.984335	10647600000	3310930000	0.790252	0.245734	3.21588	116076	14397	1785.67	0.124031	1265.85	138.51	-18.3308	1170.11	1182.26	0.154827	749715	3311.6	0.276259	847	1175	1303.83	936315	116076	0.165279	16	13958500000	1.03599	27357700000	5875590000	0.579563	0.124472	4.65616	217265	10917	548.551	0.0502474	1712.63	3436.27	0.501549	1475.32	1152.62	0.279559	777169	4016	0.417837	1015	1550	1763.47	1228180	217265	54.3482	8	33233300000	0.704035	1258
595	2831550000	2241640000	0.637131	0.504394	1.26316	66665	10793	1747.38	0.161899	995.649	108149	9.64383	1330.36	1402.85	0.126483	527068	2750.2	0.013521	936	703	1045.02	630960	66665	175448	13	5073190000	1.14153	2000410000	372209000	0.616694	0.114746	5.37441	56954	5899	610.988	0.103575	731.489	27264.4	23.0901	1243.3	1385	0.241423	235910	1998.72	0.470933	486	711	774.81	328721	56954	13051.7	6	2372610000	0.73144	6944050000	481527000	0.858205	0.0595113	14.4209	89952	5043	282.727	0.0560632	1162.1	22652.5	30.588	1305.62	1060	0.290236	309927	2638.44	0.757432	585	1137	1194.03	465801	89952	5704.56	6	7425570000	0.917716	1124
601	10447800000	7060470000	0.681036	0.460234	1.47976	123859	17092	2358.62	0.137996	1384.17	60782.3	15.6608	1320.05	1165.68	0.106469	1163340	4002.42	0.0374308	1174	1266	1441.08	1478650	123859	29828.2	5	17508300000	1.14127	10545600000	964422000	0.751244	0.0687032	10.9346	118480	8627	628.166	0.072814	1281.34	910635	-12.1792	1240.83	1200.57	0.252222	469745	3024.12	0.692924	518	1242	1319.78	630466	118480	6999130	8	11510000000	0.819947	34394500000	969715000	0.847017	0.0238807	35.4687	201511	10376	534.27	0.051491	1690.47	48504.4	-24.1371	1352.79	1005.41	0.466046	432384	3604.21	0.893324	758	1524	1737.5	693310	201511	11675.2	8	35364200000	0.870897	1307
607	14132100000	7695570000	0.503904	0.274399	1.83639	167467	16038	1535.93	0.0957681	1291.97	830.372	0.196633	1319.98	1091.8	0.155125	1079560	3829.29	0.0869537	1175	1207	1364.73	1390280	167467	4.11733	4	21827600000	0.778303	14690700000	3318330000	0.516396	0.116643	4.42714	168667	13503	1081.01	0.0800572	1295.23	75956.5	20.5946	1317.68	1086.86	0.212296	794489	3403.4	0.398769	850	1241	1334.06	1000970	168667	34205.8	7	18009000000	0.633039	46152300000	2749150000	0.742595	0.0442342	16.7878	249299	16601	1105.47	0.0665907	1783.33	109673	-32.3549	1213.41	983.544	0.367941	677551	3894.82	0.787769	1091	1566	1835.84	885618	249299	48247.8	13	48901500000	0.78683	1354
