iMPALA	iMPASA	iMPALN	iMPASN	iMPAR	iA	iBPC	iBPR	iBPAR	iCL	iCi	iCMBD	iCMX	iCMY	iCo	iCHA	iCHC	iE	iOEX	iOEY	iMECD	iMARA	iOSA	iR	iSC	iAZRM	iNZRM	iMPALAt	iMPASAt	iMPALNt	iMPASNt	iMPARt	iAt	iBPCt	iBPRt	iBPARt	iCaLt	iCit	iCMBDt	iCMXt	iCMYt	iCot	iCHAt	iCHCt	iEt	iMECDt	iMARAt	iRt	iSCt	iAZRMt	iNZRMt	iNI	iNL	iPH	iMLI	iBM
1238500000	411991000	0.560995	0.186617	3.00614	46986	6840	995.735	0.145575	767.065	31137.8	-2.28861	1339.15	1137.22	0.166214	282684	2028.66	0.250766	586	768	790.077	358373	46986	20635.1	6	1650490000	0.747612	19718200000	1198260000	0.711192	0.0432185	16.4557	166510	7615	348.257	0.045733	1457.79	21282.1	46.9677	1324.51	990.267	0.236659	703585	3596.69	0.783977	1500.72	781611	2720.13	4	20916500000	0.754411	11	12	88.938	5.893454545	72874.85703
4315470000	1361190000	0.924147	0.291496	3.17036	68335	14017	2875.19	0.205122	1243.3	498045	-16.5571	1353.08	790.466	0.0982001	695875	3173.72	0.270842	804	1155	1274.5	907906	68335	3629890	55	5676660000	1.21564	2.29E+11	10014500000	1.15845	0.0506734	22.861	444555	18190	744.286	0.0409173	2654.5	120041	-58.1255	1150.99	925.845	0.256838	1730880	6109.35	0.839388	2721.77	2582740	32413.9	10	2.39E+11	1.20912	14	18	138.364	9.883142857	131741.4719
4814620000	2055990000	1.01047	0.431502	2.34176	69027	16178	3791.67	0.234372	1316.33	343	1.87227	1267.78	744.86	0.103067	669728	3241.42	0.161212	782	1300	1355.82	940728	69027	1.70439	49	6870610000	1.44197	1.33E+11	12985900000	0.443637	0.0434568	10.2087	546647	23521	1012.06	0.0430278	1894.07	93366.9	3.86389	1209.86	1208.91	0.409662	1334390	4821.94	0.674973	1958.14	1602540	15947	8	1.46E+11	0.487094	16	19	182.837	9.8050625	137284.7036
4316900000	1080590000	0.415481	0.104002	3.99493	101932	11766	1358.15	0.11543	1087.26	839.232	-2.74091	1303.41	952.3	0.272916	373492	2548.33	0.359513	505	1078	1119.59	527830	101932	6.90962	13	5397490000	0.519483	60984800000	3764090000	0.4912	0.0303178	16.2017	352356	12503	443.656	0.035484	1662.17	59402.7	47.8446	1264.25	1051.06	0.407068	865596	3915.45	0.780983	1698.5	1070740	10014.5	8	64748900000	0.521518	16	20	151.286	7.5933125	153966.1418
5583010000	933922000	0.582641	0.0974637	5.97803	97889	11563	1365.86	0.118124	1180.41	57803.2	-5.06419	1358.75	921.119	0.209	468369	2800.05	0.50892	625	1164	1215.65	682337	97889	34132.7	7	6516940000	0.680104	1.89E+11	13898100000	0.580584	0.0426592	13.6098	570784	25926	1177.6	0.0454217	2372.68	217786	72.4173	1231.06	975.427	0.272905	2091510	5946.72	0.744952	2443.72	2820520	83097.6	16	2.03E+11	0.623244	18	21	149.334	6.935277778	183747.6781
11778700000	3372090000	0.811957	0.232453	3.49299	120443	17781	2625.01	0.14763	1217.36	175	-10.0073	1293	939.339	0.204021	590347	3030.44	0.307871	656	1183	1240.77	773705	120443	0.25427	25	15150700000	1.04441	94195200000	6554940000	0.452693	0.0315024	14.3701	456155	18113	719.231	0.039708	1815.98	161783	61.151	1179.76	1055.71	0.447581	1019160	4264.95	0.756686	1867.4	1283500	57379.1	22	1.01E+11	0.484196	18	20	191.929	8.563555556	189367.96
11978700000	1472140000	1.71255	0.210467	8.13692	83634	13912	2314.18	0.166344	1341.4	155650	-26.6164	1367.62	814.843	0.109123	766420	3420.06	0.610129	792	1330	1381.65	1046140	83634	289678	18	13450900000	1.92302	2.74E+11	7996210000	0.936608	0.0272892	34.3215	541311	20756	795.867	0.038344	2706.83	132027	21.3293	1325.85	936.405	0.320087	1691140	6216.29	0.889961	2752.99	2275700	32201.6	12	2.82E+11	0.963897	14	16	170.493	12.17807143	156177.816
7158600000	1028330000	0.640855	0.0920591	6.96135	105690	11268	1201.32	0.106614	1161.4	47960.1	-5.91266	1185.09	852.003	0.207411	509569	2980.85	0.560681	576	1132	1196.24	648360	105690	21763.3	6	8186930000	0.732914	63451000000	25241100000	0.300137	0.119396	2.5138	459790	17553	670.106	0.0381761	1495.64	91368.9	-77.9692	1332.62	1405.01	0.359376	1279410	4276.21	0.185602	1568.97	1527010	18156.7	9	88692100000	0.419533	14	17	132.675	9.476785714	172568.7044
4664950000	2527850000	0.535441	0.290146	1.84542	93340	14252	2176.12	0.152689	991.828	1031.81	-11.3904	1284.61	1052.03	0.195733	476874	2659.67	0.0882783	679	980	1029.35	617716	93340	11.406	4	7192810000	0.825587	33498400000	12055400000	0.381133	0.137162	2.77871	296465	23699	1894.46	0.0799386	1473.41	328064	6.73301	1372.52	1005.99	0.26764	1107700	4055.45	0.221576	1544.64	1542230	363032	33	45553800000	0.518296	16	18	151.581	8.1471875	138880.6856
11772100000	2762620000	1.24118	0.291274	4.26122	97389	16997	2966.43	0.174527	1376.34	140752	-1.33406	1275.67	761.044	0.116083	838960	3519.13	0.384227	921	1370	1417.64	1144910	97389	203424	15	14534700000	1.53245	1.93E+11	35309600000	0.497427	0.0910394	5.46387	622776	25307	1028.37	0.0406358	2217.01	190632	-14.1545	1147.09	1155.81	0.314673	1979120	5840.25	0.476911	2280.79	2123020	58352.5	13	2.28E+11	0.588467	16	18	176.528	9.283125	182966.6551
10247600000	447921000	1.06075	0.0463652	22.8781	98289	11648	1380.38	0.118508	1464.14	6718.39	2.46663	1310.46	692.784	0.229714	427875	3294.77	0.839498	427	1453	1501.82	614890	98289	459.224	9	10695500000	1.10711	2.12E+11	16108400000	0.569604	0.0432585	13.1675	610225	30665	1540.98	0.050252	2594.79	140987	0.39976	1304.74	1111.69	0.304206	2005960	6153.8	0.737591	2668.3	2520340	32573.7	8	2.28E+11	0.612863	16	17	210.331	11.6043125	187020.6046
5480130000	800765000	0.655204	0.0957393	6.84362	91455	9596	1006.87	0.104926	1203.11	39858.1	-7.11946	1329.12	914.201	0.245029	373242	2728.45	0.555048	512	1204	1239.2	591013	91455	17371	5	6280900000	0.750943	58602900000	5078660000	0.528584	0.0458083	11.539	332968	12924	501.639	0.0388145	1672.09	69898.6	-86.2599	1268.06	932.95	0.342385	972496	4236.41	0.706437	1751.47	1437710	14673.5	9	63681500000	0.574392	15	16	170.559	9.768066667	139649.4258
8913550000	483998000	0.772727	0.0419584	18.4165	107402	7639	543.326	0.0711253	1058.46	17859.1	27.3319	1314.91	951.374	0.325177	330288	2581.81	0.8046	439	1043	1094.25	430122	107402	2969.67	3	9397550000	0.814685	1.19E+11	11254800000	0.518574	0.0489333	10.5976	479585	15593	506.983	0.0325135	2029.54	228819	95.5187	1390.5	1014.23	0.335517	1429390	4962.57	0.684839	2062.19	1777370	109174	24	1.31E+11	0.567507	18	18	119.782	6.654555556	197553.3719
2416180000	740871000	0.781789	0.239719	3.26127	55593	8990	1453.78	0.161711	981.644	80.397	-9.21299	1388.3	982.994	0.156562	355086	2434.97	0.281596	571	961	1011.09	518835	55593	0.116268	21	3157050000	1.02151	1.23E+11	10406800000	1.05824	0.0896742	11.801	340663	14184	590.571	0.0416365	2411.61	85274.8	-108.16	1231.47	839.682	0.185211	1839330	6058.59	0.711934	2488.85	3158860	21346	8	1.33E+11	1.14792	11	13	100.758	9.159818182	104383.974
